Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Name,Type_x,Address,City,Contact,Receiver_ID,Status,Type_y
13,Fruits,33,2025-03-22,115,Grocery Store,Floresville,Vegetarian,Snacks,Wells-Davis,Grocery Store,"16029 Lisa Junctions
Port Mary, AZ 64519",Floresville,322.221.0619x89960,28.0,Pending,Individual
14,Bread,19,2025-03-30,621,Supermarket,Sarahland,Vegetarian,Dinner,Chan Group,Supermarket,"5632 Katie Forks Suite 162
West Markfurt, AR 19503",Sarahland,+1-119-104-8140x852,,,
15,Salad,3,2025-03-22,74,Catering Service,Belindaville,Vegetarian,Breakfast,Johnston Ltd,Catering Service,"58406 Pamela Mission
Leestad, OH 88592",Belindaville,5630753213,,,
16,Dairy,6,2025-03-26,862,Grocery Store,East Tammy,Vegan,Snacks,Obrien-Carr,Grocery Store,"7915 Jacob Tunnel Suite 241
New Lisaport, HI 08755",East Tammy,096.381.4881x4011,654.0,Cancelled,Shelter
16,Dairy,6,2025-03-26,862,Grocery Store,East Tammy,Vegan,Snacks,Obrien-Carr,Grocery Store,"7915 Jacob Tunnel Suite 241
New Lisaport, HI 08755",East Tammy,096.381.4881x4011,418.0,Completed,Charity
16,Dairy,6,2025-03-26,862,Grocery Store,East Tammy,Vegan,Snacks,Obrien-Carr,Grocery Store,"7915 Jacob Tunnel Suite 241
New Lisaport, HI 08755",East Tammy,096.381.4881x4011,194.0,Pending,NGO
17,Chicken,42,2025-03-22,417,Restaurant,East Ashleyshire,Non-Vegetarian,Snacks,"Glover, Wilson and Hudson",Restaurant,"3045 Joshua Fall Suite 109
Khanshire, AL 47705",East Ashleyshire,(315)080-3138,647.0,Pending,Charity
18,Soup,28,2025-03-27,455,Catering Service,Madisonfort,Vegan,Snacks,Rios Group,Catering Service,"58472 Snyder Squares
Port Zacharyton, CT 67515",Madisonfort,003-727-0894x163,617.0,Pending,Individual
19,Rice,13,2025-03-30,419,Supermarket,Port Peter,Vegan,Breakfast,"Hanson, Wilkerson and Lee",Supermarket,"948 Evans Green
Lake Carol, GA 38897",Port Peter,759.535.5451,297.0,Completed,Individual
20,Pasta,41,2025-03-17,306,Catering Service,North Keith,Non-Vegetarian,Snacks,"Evans, Wright and Mitchell",Catering Service,"73725 Anthony Way Apt. 971
West Pamela, OH 61366",North Keith,001-726-568-9224,,,
21,Rice,38,2025-03-26,277,Catering Service,West Aliciabury,Vegan,Dinner,Ramos and Sons,Catering Service,"6378 Kendra Greens
East Jacob, IN 59852",West Aliciabury,5918690343,,,
22,Chicken,46,2025-03-21,892,Grocery Store,Russellfurt,Vegan,Snacks,Flores-Wade,Grocery Store,"43443 Campbell Highway
Ricetown, MA 95006",Russellfurt,525-492-4716,800.0,Completed,Individual
22,Chicken,46,2025-03-21,892,Grocery Store,Russellfurt,Vegan,Snacks,Flores-Wade,Grocery Store,"43443 Campbell Highway
Ricetown, MA 95006",Russellfurt,525-492-4716,438.0,Completed,Individual
23,Salad,43,2025-03-26,1,Supermarket,New Jessica,Vegan,Dinner,Gonzales-Cochran,Supermarket,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,+1-600-220-0480,446.0,Cancelled,NGO
23,Salad,43,2025-03-26,1,Supermarket,New Jessica,Vegan,Dinner,Gonzales-Cochran,Supermarket,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,+1-600-220-0480,559.0,Cancelled,Shelter
24,Bread,20,2025-03-30,897,Catering Service,Villastad,Non-Vegetarian,Lunch,Stephens-Braun,Catering Service,"657 Charles Streets
North Carolineberg, AR 77518",Villastad,001-744-282-3182,,,
25,Rice,48,2025-03-22,898,Restaurant,Medinatown,Vegan,Breakfast,Wilson Group,Restaurant,"Unit 6637 Box 3119
DPO AP 06435",Medinatown,4943539272,493.0,Pending,Charity
25,Rice,48,2025-03-22,898,Restaurant,Medinatown,Vegan,Breakfast,Wilson Group,Restaurant,"Unit 6637 Box 3119
DPO AP 06435",Medinatown,4943539272,228.0,Cancelled,Charity
26,Vegetables,34,2025-03-27,95,Supermarket,Christinaland,Vegan,Dinner,Orr Inc,Supermarket,"5940 Klein Junctions
Jenniferborough, PA 44116",Christinaland,+1-415-991-8966,,,
27,Salad,12,2025-03-23,262,Supermarket,New Carol,Vegan,Breakfast,Bradford-Martinez,Supermarket,"366 Wheeler Fields
Harringtonchester, WY 86540",New Carol,199.451.0254,,,
28,Chicken,5,2025-03-22,606,Grocery Store,North Nathan,Vegan,Dinner,"Freeman, Decker and Johnson",Grocery Store,"6294 Gregory Throughway Suite 517
West Marychester, NM 35832",North Nathan,290-849-5446x412,788.0,Completed,NGO
29,Bread,18,2025-03-19,196,Restaurant,Bartonborough,Vegan,Lunch,Owens-Taylor,Restaurant,"553 Emily Mountains Suite 339
East Mary, MI 74272",Bartonborough,+1-977-169-9906x1607,554.0,Cancelled,Charity
30,Soup,4,2025-03-16,616,Restaurant,Clarkberg,Vegetarian,Dinner,Moore-Flowers,Restaurant,"57451 Davis Port Apt. 531
East John, CT 19104",Clarkberg,(256)326-8681x6129,132.0,Completed,Charity
30,Soup,4,2025-03-16,616,Restaurant,Clarkberg,Vegetarian,Dinner,Moore-Flowers,Restaurant,"57451 Davis Port Apt. 531
East John, CT 19104",Clarkberg,(256)326-8681x6129,680.0,Completed,NGO
30,Soup,4,2025-03-16,616,Restaurant,Clarkberg,Vegetarian,Dinner,Moore-Flowers,Restaurant,"57451 Davis Port Apt. 531
East John, CT 19104",Clarkberg,(256)326-8681x6129,16.0,Pending,NGO
31,Bread,42,2025-03-22,535,Grocery Store,Valdezborough,Non-Vegetarian,Snacks,Hill PLC,Grocery Store,"8470 Brandon Extension
North Rhondastad, AK 50332",Valdezborough,+1-157-982-5008x743,590.0,Pending,Shelter
32,Rice,27,2025-03-21,611,Supermarket,Port Kendraborough,Non-Vegetarian,Lunch,Williams-Manning,Supermarket,"99495 Cook Fork Apt. 475
North David, WA 68629",Port Kendraborough,001-050-248-0430x1092,,,
33,Salad,9,2025-03-27,798,Grocery Store,North Amanda,Vegetarian,Breakfast,Jordan LLC,Grocery Store,"2673 Maria Knolls
Comptonborough, NY 52749",North Amanda,+1-073-137-5460,762.0,Cancelled,NGO
34,Bread,3,2025-03-30,396,Catering Service,Heatherside,Vegan,Breakfast,Chase-Gross,Catering Service,"950 Nicole Burg Suite 178
Donnamouth, AL 08654",Heatherside,(041)493-1650,709.0,Completed,Individual
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,276.0,Cancelled,Individual
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,654.0,Pending,Shelter
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,205.0,Pending,Charity
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,479.0,Cancelled,NGO
36,Rice,35,2025-03-20,1,Supermarket,New Jessica,Vegan,Breakfast,Gonzales-Cochran,Supermarket,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,+1-600-220-0480,668.0,Pending,NGO
37,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner,Hunt-Lee,Grocery Store,"1004 Michael Mission
East Kenneth, NY 07626",Davidborough,001-681-802-0601x91223,449.0,Completed,NGO
37,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner,Hunt-Lee,Grocery Store,"1004 Michael Mission
East Kenneth, NY 07626",Davidborough,001-681-802-0601x91223,512.0,Pending,Shelter
38,Bread,48,2025-03-22,440,Grocery Store,Elliottberg,Vegetarian,Snacks,Martinez-Graham,Grocery Store,"002 Jessica Pine Suite 278
Davidville, NE 33218",Elliottberg,001-974-692-9262x419,,,
39,Bread,48,2025-03-22,758,Catering Service,Port Patrick,Non-Vegetarian,Breakfast,Todd Group,Catering Service,"Unit 6259 Box 3832
DPO AE 28167",Port Patrick,236.722.8623,259.0,Cancelled,NGO
40,Fruits,12,2025-03-27,965,Restaurant,Port Bryce,Vegetarian,Breakfast,Oconnor Ltd,Restaurant,"49967 Victoria Union Suite 176
Watkinsport, NC 14235",Port Bryce,+1-484-031-6824x10667,294.0,Completed,NGO
41,Chicken,14,2025-03-27,450,Catering Service,Grahamside,Vegetarian,Dinner,Gibson and Sons,Catering Service,"0835 Franco Common
East Martha, SD 01753",Grahamside,(804)688-7617,945.0,Pending,Individual
42,Rice,50,2025-03-16,179,Supermarket,North Michelle,Vegan,Lunch,"Lucas, Bush and Miller",Supermarket,"4664 Debra Row Apt. 580
Lake Stephen, TX 87375",North Michelle,3334774489,,,
43,Pasta,44,2025-03-22,29,Grocery Store,Patrickmouth,Vegan,Lunch,Andrews-Wiley,Grocery Store,"37741 Edward Green Apt. 840
Whiteport, WY 68558",Patrickmouth,+1-657-214-6013x08444,72.0,Cancelled,Shelter
44,Bread,39,2025-03-22,290,Supermarket,Bradleyport,Vegan,Snacks,"Webb, Phillips and Garcia",Supermarket,"09931 Snyder Station Apt. 218
Ritterborough, IL 82418",Bradleyport,001-401-943-3400,,,
45,Fish,17,2025-03-24,874,Catering Service,Priceland,Non-Vegetarian,Lunch,Long-Alexander,Catering Service,"4601 Samuel Ranch Suite 442
New Ronald, SC 13631",Priceland,328-638-0829x010,435.0,Pending,Shelter
46,Pasta,25,2025-03-28,576,Catering Service,East Emilyburgh,Vegetarian,Breakfast,Townsend Inc,Catering Service,"39437 Alejandro Path Apt. 765
Olsonview, MS 29423",East Emilyburgh,001-820-820-2213x469,548.0,Completed,NGO
47,Salad,3,2025-03-17,420,Catering Service,Anthonyton,Vegan,Snacks,Snyder Ltd,Catering Service,"04976 Harris River Apt. 880
Josephland, CT 42183",Anthonyton,805-601-1161x98115,548.0,Cancelled,NGO
48,Rice,30,2025-03-16,150,Grocery Store,North Jamesberg,Vegan,Breakfast,"Powers, Clark and Snyder",Grocery Store,"8675 Reed Crest Suite 904
West Wendyborough, ID 45874",North Jamesberg,531-341-5220x02539,,,
49,Fish,41,2025-03-17,700,Supermarket,Morriston,Non-Vegetarian,Dinner,Webster and Sons,Supermarket,"9427 Jones Ridges Suite 824
South Brendan, CT 19533",Morriston,161.555.4218x17236,586.0,Completed,Shelter
49,Fish,41,2025-03-17,700,Supermarket,Morriston,Non-Vegetarian,Dinner,Webster and Sons,Supermarket,"9427 Jones Ridges Suite 824
South Brendan, CT 19533",Morriston,161.555.4218x17236,314.0,Pending,Shelter
50,Salad,28,2025-03-23,514,Supermarket,Maxwellburgh,Vegetarian,Dinner,Roy-Hancock,Supermarket,"203 Dawn Ridge
Loganshire, SC 01665",Maxwellburgh,(186)046-9157,436.0,Completed,NGO
50,Salad,28,2025-03-23,514,Supermarket,Maxwellburgh,Vegetarian,Dinner,Roy-Hancock,Supermarket,"203 Dawn Ridge
Loganshire, SC 01665",Maxwellburgh,(186)046-9157,287.0,Cancelled,Charity
51,Dairy,14,2025-03-27,828,Catering Service,Torresshire,Vegetarian,Snacks,Campbell LLC,Catering Service,"9892 Christopher Park Suite 948
Davidfurt, TN 47444",Torresshire,408.792.0799,,,
52,Vegetables,23,2025-03-29,460,Grocery Store,Lake Justin,Non-Vegetarian,Snacks,"Gutierrez, Anthony and Shannon",Grocery Store,"6787 Jamie Fords Suite 103
Wademouth, IL 18159",Lake Justin,2924416283,497.0,Completed,Charity
52,Vegetables,23,2025-03-29,460,Grocery Store,Lake Justin,Non-Vegetarian,Snacks,"Gutierrez, Anthony and Shannon",Grocery Store,"6787 Jamie Fords Suite 103
Wademouth, IL 18159",Lake Justin,2924416283,126.0,Completed,NGO
53,Fruits,13,2025-03-16,174,Grocery Store,North Carolfurt,Vegetarian,Lunch,"Gillespie, Foster and Boyd",Grocery Store,"Unit 1730 Box 5566
DPO AA 26190",North Carolfurt,001-862-502-0221x7258,,,
54,Soup,15,2025-03-17,368,Grocery Store,North Lindseychester,Non-Vegetarian,Snacks,Smith-Villegas,Grocery Store,"5916 Craig Courts
New Kevinfurt, MS 57479",North Lindseychester,001-467-901-7553,,,
55,Vegetables,19,2025-03-17,967,Grocery Store,Coleburgh,Vegetarian,Breakfast,Miller Inc,Grocery Store,"97290 Stephanie Mountains Apt. 247
Lindseyburgh, WY 63235",Coleburgh,+1-926-386-9945x8729,1000.0,Completed,Shelter
56,Vegetables,9,2025-03-23,125,Supermarket,Lake April,Non-Vegetarian,Lunch,Brown-Grimes,Supermarket,"71570 Jason Spurs Apt. 697
Melissaton, ID 56125",Lake April,492-029-0285x3479,75.0,Cancelled,Charity
56,Vegetables,9,2025-03-23,125,Supermarket,Lake April,Non-Vegetarian,Lunch,Brown-Grimes,Supermarket,"71570 Jason Spurs Apt. 697
Melissaton, ID 56125",Lake April,492-029-0285x3479,139.0,Pending,NGO
57,Chicken,23,2025-03-17,977,Restaurant,South Jessicachester,Vegan,Dinner,Anderson and Sons,Restaurant,"1110 Martin Square Suite 965
West Anthony, VT 13086",South Jessicachester,759-596-1190x656,,,
58,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,Harrison-Wilson,Catering Service,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515,487.0,Completed,NGO
58,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,Harrison-Wilson,Catering Service,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515,923.0,Pending,Shelter
58,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,Harrison-Wilson,Catering Service,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515,341.0,Completed,Individual
59,Vegetables,38,2025-03-22,251,Restaurant,East Terrancemouth,Vegan,Snacks,Carter-Jones,Restaurant,"26720 Candace Inlet Suite 052
Hendersonton, MA 30678",East Terrancemouth,892-412-5796,543.0,Completed,Charity
59,Vegetables,38,2025-03-22,251,Restaurant,East Terrancemouth,Vegan,Snacks,Carter-Jones,Restaurant,"26720 Candace Inlet Suite 052
Hendersonton, MA 30678",East Terrancemouth,892-412-5796,401.0,Pending,Charity
60,Pasta,49,2025-03-28,153,Restaurant,Hawkinsmouth,Non-Vegetarian,Breakfast,Wu LLC,Restaurant,"439 Oscar Mountains Suite 426
Lake Markmouth, MI 84788",Hawkinsmouth,350.191.5139x454,,,
61,Fruits,33,2025-03-22,243,Catering Service,West Catherine,Vegetarian,Lunch,Davis-Hurley,Catering Service,"687 Sparks Forks
East Patricia, NC 25546",West Catherine,(172)389-0239x87614,933.0,Cancelled,NGO
62,Rice,21,2025-03-21,520,Catering Service,Port Andre,Non-Vegetarian,Breakfast,"Jackson, Miller and Porter",Catering Service,"8021 Erin Trafficway
New Jamesport, TX 78396",Port Andre,257-230-5531,,,
63,Salad,6,2025-03-20,335,Grocery Store,North Gary,Vegetarian,Dinner,"Newman, Pearson and Mccarthy",Grocery Store,"4719 Darryl Isle
New Rebecca, GA 13003",North Gary,905.549.7068,964.0,Completed,Individual
64,Soup,41,2025-03-26,678,Grocery Store,Lake Travis,Non-Vegetarian,Dinner,Ruiz-Oneal,Grocery Store,"934 Kelsey Shoals
Tiffanyburgh, IL 56636",Lake Travis,(569)363-0118,119.0,Cancelled,Individual
65,Fruits,45,2025-03-26,602,Grocery Store,North Destiny,Non-Vegetarian,Breakfast,Cole LLC,Grocery Store,"USS Zhang
FPO AP 50279",North Destiny,001-078-379-8075x2377,324.0,Completed,NGO
65,Fruits,45,2025-03-26,602,Grocery Store,North Destiny,Non-Vegetarian,Breakfast,Cole LLC,Grocery Store,"USS Zhang
FPO AP 50279",North Destiny,001-078-379-8075x2377,301.0,Cancelled,NGO
66,Fish,6,2025-03-22,577,Catering Service,Lake Donna,Non-Vegetarian,Breakfast,Taylor-Matthews,Catering Service,"073 Cathy Trail Apt. 793
Nelsonfurt, NY 98042",Lake Donna,864-725-3991x8612,700.0,Cancelled,Shelter
67,Rice,50,2025-03-24,455,Catering Service,Madisonfort,Vegan,Breakfast,Rios Group,Catering Service,"58472 Snyder Squares
Port Zacharyton, CT 67515",Madisonfort,003-727-0894x163,302.0,Cancelled,Charity
68,Rice,15,2025-03-25,113,Catering Service,East Elizabethberg,Vegetarian,Snacks,"Anderson, Nicholson and Bruce",Catering Service,"8546 James Fields Apt. 534
Hallborough, AL 55990",East Elizabethberg,+1-274-720-0033x1795,,,
69,Bread,47,2025-03-16,504,Catering Service,Gaineschester,Vegetarian,Snacks,Small Ltd,Catering Service,"85125 Deanna Garden
New Sherry, IL 97694",Gaineschester,1943075475,407.0,Completed,Charity
69,Bread,47,2025-03-16,504,Catering Service,Gaineschester,Vegetarian,Snacks,Small Ltd,Catering Service,"85125 Deanna Garden
New Sherry, IL 97694",Gaineschester,1943075475,98.0,Cancelled,Individual
70,Rice,7,2025-03-16,313,Supermarket,Boylechester,Vegetarian,Lunch,Maldonado-Davis,Supermarket,"51547 Desiree Cape Suite 175
Port Benjaminfurt, RI 95290",Boylechester,9538261424,42.0,Pending,NGO
71,Fish,45,2025-03-19,750,Supermarket,Michaelton,Vegetarian,Lunch,Barnes and Sons,Supermarket,"41662 John Shoals Apt. 246
West Shannon, NM 07777",Michaelton,(547)040-4732,164.0,Completed,Charity
72,Dairy,11,2025-03-24,293,Catering Service,Joneshaven,Vegan,Dinner,Ibarra and Sons,Catering Service,"Unit 2034 Box 3584
DPO AE 66830",Joneshaven,855-385-3050x223,696.0,Pending,Charity
72,Dairy,11,2025-03-24,293,Catering Service,Joneshaven,Vegan,Dinner,Ibarra and Sons,Catering Service,"Unit 2034 Box 3584
DPO AE 66830",Joneshaven,855-385-3050x223,397.0,Cancelled,Individual
73,Soup,48,2025-03-19,485,Restaurant,East Andrea,Vegan,Breakfast,Baker-Mcdonald,Restaurant,"290 Bowen Loaf Apt. 261
Gordonshire, ME 35368",East Andrea,933.503.6294x194,880.0,Completed,Shelter
73,Soup,48,2025-03-19,485,Restaurant,East Andrea,Vegan,Breakfast,Baker-Mcdonald,Restaurant,"290 Bowen Loaf Apt. 261
Gordonshire, ME 35368",East Andrea,933.503.6294x194,283.0,Cancelled,Charity
74,Chicken,12,2025-03-29,387,Grocery Store,West Juliabury,Non-Vegetarian,Breakfast,Barrera-Ward,Grocery Store,"55591 Eric Corners Apt. 955
Riveraburgh, NJ 52897",West Juliabury,958.242.0037,294.0,Cancelled,NGO
75,Bread,35,2025-03-24,389,Grocery Store,Davidborough,Vegetarian,Dinner,Hunt-Lee,Grocery Store,"1004 Michael Mission
East Kenneth, NY 07626",Davidborough,001-681-802-0601x91223,,,
76,Pasta,40,2025-03-16,905,Restaurant,North Kennethshire,Vegan,Lunch,Ayers LLC,Restaurant,"901 Pacheco Dale
Robertport, OK 20674",North Kennethshire,(922)213-3651x61067,,,
77,Rice,4,2025-03-19,890,Restaurant,Pereztown,Vegetarian,Lunch,"Simpson, Mcguire and Brown",Restaurant,"950 Dawn Mountains
New Robert, MI 58996",Pereztown,274.464.1201x34627,,,
78,Chicken,1,2025-03-23,913,Grocery Store,Erikatown,Non-Vegetarian,Dinner,Crosby Group,Grocery Store,"81218 Peter Rest Apt. 173
East Caitlinport, NV 39150",Erikatown,+1-307-053-5303x7456,765.0,Pending,Shelter
79,Rice,25,2025-03-19,100,Catering Service,Mooreview,Vegan,Breakfast,Greene-Garcia,Catering Service,"USS Smith
FPO AE 39123",Mooreview,155.846.6299,508.0,Pending,Individual
80,Dairy,36,2025-03-29,434,Restaurant,Nicoletown,Vegetarian,Breakfast,Kennedy-Johnston,Restaurant,"72862 Matthew Prairie Apt. 637
Reidland, CA 77085",Nicoletown,(669)695-7079x59486,50.0,Cancelled,NGO
81,Fruits,33,2025-03-18,848,Supermarket,Fowlerbury,Vegetarian,Snacks,Fisher PLC,Supermarket,"350 Danny Flats Suite 806
Smithfort, IN 28216",Fowlerbury,+1-823-181-5943x270,645.0,Pending,NGO
82,Vegetables,26,2025-03-23,631,Supermarket,North Kevinhaven,Non-Vegetarian,Snacks,"Mueller, Savage and Hudson",Supermarket,"959 Joseph Square Apt. 513
Lake Jennifer, IL 84011",North Kevinhaven,(995)505-1664,,,
83,Rice,44,2025-03-28,312,Restaurant,North Ianbury,Vegetarian,Dinner,Garcia-Hunter,Restaurant,"019 Amy Station
South Daniel, MD 51890",North Ianbury,150-729-4411,150.0,Cancelled,Charity
84,Rice,25,2025-03-23,967,Grocery Store,Coleburgh,Vegan,Snacks,Miller Inc,Grocery Store,"97290 Stephanie Mountains Apt. 247
Lindseyburgh, WY 63235",Coleburgh,+1-926-386-9945x8729,105.0,Completed,NGO
84,Rice,25,2025-03-23,967,Grocery Store,Coleburgh,Vegan,Snacks,Miller Inc,Grocery Store,"97290 Stephanie Mountains Apt. 247
Lindseyburgh, WY 63235",Coleburgh,+1-926-386-9945x8729,168.0,Completed,Shelter
84,Rice,25,2025-03-23,967,Grocery Store,Coleburgh,Vegan,Snacks,Miller Inc,Grocery Store,"97290 Stephanie Mountains Apt. 247
Lindseyburgh, WY 63235",Coleburgh,+1-926-386-9945x8729,544.0,Completed,NGO
85,Pasta,28,2025-03-16,554,Restaurant,Brandyberg,Vegan,Lunch,Jackson Ltd,Restaurant,"325 Becker Pass
West Bobshire, MT 42103",Brandyberg,920-705-5617x44135,781.0,Completed,NGO
86,Soup,13,2025-03-30,288,Supermarket,Maynardstad,Vegetarian,Dinner,Carlson-Mathis,Supermarket,"98491 Matthews Mall
Lake Juantown, NY 51580",Maynardstad,518.257.3189x434,205.0,Cancelled,Charity
87,Salad,37,2025-03-28,34,Grocery Store,North Garybury,Vegan,Breakfast,"Cooper, Smith and King",Grocery Store,"439 Barnes Courts Apt. 349
South Gregory, MO 73315",North Garybury,+1-812-193-0704x61726,,,
88,Vegetables,22,2025-03-21,491,Supermarket,Samanthabury,Non-Vegetarian,Dinner,Wilkerson-Woods,Supermarket,"51520 Deborah Views Apt. 001
Moranbury, VT 92348",Samanthabury,3597678978,791.0,Completed,Charity
89,Chicken,3,2025-03-27,844,Grocery Store,Olsenstad,Vegan,Lunch,Gallagher-Brown,Grocery Store,"USNV Morris
FPO AP 79488",Olsenstad,9339428554,619.0,Completed,NGO
89,Chicken,3,2025-03-27,844,Grocery Store,Olsenstad,Vegan,Lunch,Gallagher-Brown,Grocery Store,"USNV Morris
FPO AP 79488",Olsenstad,9339428554,934.0,Pending,Charity
90,Bread,29,2025-03-23,477,Supermarket,East Jacobchester,Vegan,Breakfast,Alvarado LLC,Supermarket,"48690 Boyle Plaza Suite 271
North Briantown, AK 84478",East Jacobchester,5915828492,419.0,Pending,Shelter
91,Vegetables,9,2025-03-22,275,Supermarket,Brittanyport,Vegetarian,Breakfast,"Floyd, Jones and Alvarado",Supermarket,"55399 Bullock Cove Apt. 326
East Latoya, KY 21621",Brittanyport,106.317.0700x02344,,,
92,Chicken,42,2025-03-20,752,Grocery Store,East Heatherport,Vegetarian,Breakfast,Butler-Richardson,Grocery Store,"99213 George Spurs Suite 321
Petersenberg, MA 55289",East Heatherport,+1-268-505-2616,103.0,Cancelled,Individual
92,Chicken,42,2025-03-20,752,Grocery Store,East Heatherport,Vegetarian,Breakfast,Butler-Richardson,Grocery Store,"99213 George Spurs Suite 321
Petersenberg, MA 55289",East Heatherport,+1-268-505-2616,640.0,Cancelled,NGO
92,Chicken,42,2025-03-20,752,Grocery Store,East Heatherport,Vegetarian,Breakfast,Butler-Richardson,Grocery Store,"99213 George Spurs Suite 321
Petersenberg, MA 55289",East Heatherport,+1-268-505-2616,192.0,Completed,Individual
92,Chicken,42,2025-03-20,752,Grocery Store,East Heatherport,Vegetarian,Breakfast,Butler-Richardson,Grocery Store,"99213 George Spurs Suite 321
Petersenberg, MA 55289",East Heatherport,+1-268-505-2616,42.0,Completed,NGO
93,Salad,49,2025-03-20,264,Catering Service,New Richard,Vegetarian,Lunch,Holland and Sons,Catering Service,"430 Tyler View Apt. 166
South Katherine, TX 04269",New Richard,184-401-2586x9344,,,
